总编号,是否循环,位置参数1,图片索引,滞留时间,列1,列2,行1,行2,文件编号,未知参数2,文件路径
100,0,0,0,10,0.000,1.000,0.000,1.000,0,12,UI\UIP5\100@
101,0,0,0,10,0.000,0.194,0.245,0.488,0,13,UI\UIP5\bq-j@
102,0,0,0,10,0.000,0.194,0.245,0.488,0,13,UI\UIP5\bq-l@
103,0,0,0,10,0.781,0.976,0.001,0.244,0,13,UI\UIP5\bq-l@
104,0,0,0,10,0.586,0.780,0.001,0.244,0,13,UI\UIP5\bq-l@
105,0,0,0,10,0.391,0.585,0.001,0.244,0,13,UI\UIP5\bq-l@
106,0,0,0,10,0.195,0.390,0.001,0.244,0,13,UI\UIP5\bq-l@
107,0,0,0,10,0.000,0.194,0.001,0.244,0,13,UI\UIP5\bq-l@
108,0,0,0,10,0.781,0.976,0.733,0.977,0,13,UI\UIP5\bq-j@
109,0,0,0,10,0.586,0.780,0.733,0.977,0,13,UI\UIP5\bq-j@
110,0,0,0,10,0.391,0.585,0.733,0.977,0,13,UI\UIP5\bq-j@
111,0,0,0,10,0.195,0.390,0.733,0.977,0,13,UI\UIP5\bq-j@
112,0,0,0,10,0.000,0.194,0.733,0.977,0,13,UI\UIP5\bq-j@
113,0,0,0,10,0.781,0.976,0.489,0.732,0,13,UI\UIP5\bq-j@
114,0,0,0,10,0.391,0.585,0.489,0.732,0,13,UI\UIP5\bq-j@
115,0,0,0,10,0.195,0.390,0.489,0.732,0,13,UI\UIP5\bq-j@
116,0,0,0,10,0.000,0.194,0.489,0.732,0,13,UI\UIP5\bq-j@
117,0,0,0,10,0.781,0.976,0.245,0.488,0,13,UI\UIP5\bq-j@
118,0,0,0,10,0.586,0.780,0.245,0.488,0,13,UI\UIP5\bq-j@
119,0,0,0,10,0.391,0.585,0.245,0.488,0,13,UI\UIP5\bq-j@
120,1,0,0,10,0.195,0.390,0.245,0.488,0,13,UI\UIP5\bq-j@
121,1,0,0,10,0.586,0.780,0.489,0.732,0,13,UI\UIP5\bq-j@
122,0,0,0,10,0.195,0.390,0.245,0.488,0,13,UI\UIP5\bq-l@
123,1,0,0,10,0.391,0.585,0.245,0.488,0,13,UI\UIP5\bq-l@
124,0,0,0,10,0.586,0.780,0.245,0.488,0,13,UI\UIP5\bq-l@
131,0,0,0,10,0.000,0.194,0.489,0.732,0,13,UI\UIP5\bq-l@
132,0,0,0,10,0.195,0.390,0.489,0.732,0,13,UI\UIP5\bq-l@
133,0,0,0,10,0.391,0.585,0.489,0.732,0,13,UI\UIP5\bq-l@
134,0,0,0,10,0.586,0.780,0.489,0.732,0,13,UI\UIP5\bq-l@
135,0,0,0,10,0.000,0.194,0.733,0.977,0,13,UI\UIP5\bq-l@
136,0,0,0,10,0.195,0.390,0.733,0.977,0,13,UI\UIP5\bq-l@
137,0,0,0,10,0.781,0.976,0.733,0.977,0,13,UI\UIP5\bq-l@
138,0,0,0,10,0.781,0.976,0.245,0.488,0,14,UI\UIP5\bq-l1@
139,0,0,0,10,0.000,0.194,0.001,0.244,0,14,UI\UIP5\bq-l1@
140,0,0,0,10,0.195,0.390,0.001,0.244,0,14,UI\UIP5\bq-l1@
141,0,0,0,10,0.391,0.585,0.001,0.244,0,14,UI\UIP5\bq-l1@
142,0,0,0,10,0.586,0.780,0.001,0.244,0,14,UI\UIP5\bq-l1@
143,0,0,0,10,0.781,0.976,0.001,0.244,0,14,UI\UIP5\bq-l1@
144,0,0,0,10,0.586,0.780,0.733,0.977,0,13,UI\UIP5\bq-l@
145,0,0,0,10,0.391,0.585,0.733,0.977,0,13,UI\UIP5\bq-l@
146,0,0,0,10,0.000,0.194,0.245,0.488,0,14,UI\UIP5\bq-l1@
147,0,0,0,10,0.195,0.390,0.245,0.488,0,14,UI\UIP5\bq-l1@
148,0,0,0,10,0.391,0.585,0.245,0.488,0,14,UI\UIP5\bq-l1@
149,0,0,0,10,0.586,0.780,0.245,0.488,0,14,UI\UIP5\bq-l1@
150,0,0,0,10,0.781,0.976,0.489,0.732,0,13,UI\UIP5\bq-l@
151,0,0,0,10,0.000,0.194,0.489,0.732,0,14,UI\UIP5\bq-l1@
161,0,0,0,10,0.000,0.194,0.733,0.977,0,14,UI\UIP5\bq-l1@
162,0,0,0,10,0.391,0.585,0.489,0.732,0,13,UI\UIP5\bq-t@
163,0,0,0,10,0.195,0.390,0.489,0.732,0,13,UI\UIP5\bq-t@
164,0,0,0,10,0.781,0.976,0.245,0.488,0,13,UI\UIP5\bq-t@
165,0,0,0,10,0.586,0.780,0.245,0.488,0,13,UI\UIP5\bq-t@
166,0,0,0,10,0.000,0.194,0.489,0.732,0,13,UI\UIP5\bq-t@
167,0,0,0,10,0.391,0.585,0.245,0.488,0,13,UI\UIP5\bq-t@
168,0,0,0,10,0.195,0.390,0.245,0.488,0,13,UI\UIP5\bq-t@
169,0,0,0,10,0.000,0.194,0.245,0.488,0,13,UI\UIP5\bq-t@
170,0,0,0,10,0.586,0.780,0.001,0.244,0,13,UI\UIP5\bq-t@
171,0,0,0,10,0.391,0.585,0.001,0.244,0,13,UI\UIP5\bq-t@
172,0,0,0,10,0.195,0.390,0.001,0.244,0,13,UI\UIP5\bq-t@
173,0,0,0,10,0.000,0.194,0.001,0.244,0,13,UI\UIP5\bq-t@
174,0,0,0,10,0.781,0.976,0.733,0.977,0,14,UI\UIP5\bq-l1@
175,0,0,0,10,0.586,0.780,0.733,0.977,0,14,UI\UIP5\bq-l1@
176,0,0,0,10,0.391,0.585,0.733,0.977,0,14,UI\UIP5\bq-l1@
177,0,0,0,10,0.195,0.390,0.733,0.977,0,14,UI\UIP5\bq-l1@
178,0,0,0,10,0.781,0.976,0.001,0.244,0,13,UI\UIP5\bq-t@
201,0,0,0,10,0.000,0.195,0.000,0.195,0,17,UI\UIP5\clothes1@
202,0,0,0,10,0.195,0.391,0.000,0.195,0,17,UI\UIP5\Clothes1@
203,0,0,0,10,0.391,0.586,0.000,0.195,0,17,UI\UIP5\Clothes1@
204,0,0,0,10,0.586,0.781,0.000,0.195,0,17,UI\UIP5\Clothes1@
205,0,0,0,10,0.781,0.977,0.000,0.195,0,17,UI\UIP5\Clothes1@
206,0,0,0,10,0.000,0.195,0.195,0.391,0,17,UI\UIP5\Clothes1@
207,0,0,0,10,0.195,0.391,0.195,0.391,0,17,UI\UIP5\Clothes1@
208,0,0,0,10,0.391,0.586,0.195,0.391,0,17,UI\UIP5\Clothes1@
209,0,0,0,10,0.586,0.781,0.195,0.391,0,17,UI\UIP5\Clothes1@
210,0,0,0,10,0.781,0.977,0.195,0.391,0,17,UI\UIP5\Clothes1@
